Nome,Semana,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG,Legenda,Link
Caroline De Toni,14-20 MAR/24,19-03-2024,Instagram,Reels,15792,0.0181,218295.0,0.0,15362,430.0,0.0,21457.97,"5 anos do Inquérito do “Fim do Mundo”. Hoje, parlamentares de oposição falaram sobre os 5 anos da instauração do Inquérito 4.781, também chamado de inquérito das Fake News. Há cinco anos o STF ordenou a instauração de um inquérito inconstitucional e ilegal, que já deveria ter sido há muito tempo extinto. Uma verdadeira aberração jurídica instalada no Brasil, que fere as cláusulas pétreas da Constituição e que desde a sua instalação tem servido para perseguição política. Acompanhem um trecho da fala do senador rogerio.smarinho .",https://www.instagram.com/reel/C4tjZRfOZd6/
Chris Tonietto,14-20 MAR/24,20-03-2024,Instagram,Carrossel,7484,0.0334,56054.0,0.0,7169,315.0,0.0,9858.22,Universidade é lugar de estudar! Que futuro terá o Brasil com jovens formados no meio dessa vergonha?,https://www.instagram.com/p/C4wG5iwJ1AF/
Chris Tonietto,14-20 MAR/24,16-03-2024,Instagram,Reels,1909,0.0085,56054.0,0.0,1792,117.0,0.0,3709.4,"Que alegria de participar destes momentos tão especiais, no lançamento da pré-candidatura de Alexandre Ramagem para a Prefeitura do Rio de Janeiro! O povo sabe quem é o líder que respeita seus valores, princípios, liberdade e democracia! Bolsonaro é o símbolo dessa luta, e Alexandre Ramagem foi o escolhido para representar esses valores aqui no Rio. Todos com delegadoramagem jairmessiasbolsonaro plnacional22",https://www.instagram.com/reel/C4lXAKlp1v_/
Chris Tonietto,14-20 MAR/24,14-03-2024,Instagram,Reels,1141,0.0051,56054.0,0.0,1115,26.0,0.0,2426.48,Rotular de “fake news” uma denúncia que sequer foi investigada é no mínimo uma grande irresponsabilidade! O que exigimos é que os casos de abuso sexual de crianças na ilha de Marajó sejam apurados o quanto antes!,https://www.instagram.com/reel/C4gjl51JQ_7/
Eduardo Bolsonaro,14-20 MAR/24,14-03-2024,Instagram,Foto,261730,0.046,966894.0,0.0,253851,7879.0,0.0,300841.63,"(POR) Deus nos abençoou com um jantar privado e boas horas de conversa com o futuro Presidente dos Estados Unidos da América, iniciado ao som do hino nacional americano. Certamente realdonaldtrump está ciente do que se passa no Brasil e se há uma característica forte nele é a sua coragem e autenticidade para implementar as decisões corretas. Ao final pude fazer uma chamada de vídeo conectando Presidente Trump com Presidente Bolsonaro. É impossível não admitir que se tratam dos dois maiores líderes patriotas do ocidente. Tudo isso no mesmo dia em que sua nomeação para disputar à presidência dos EUA foi confirmada - e que concorrerá contra Biden. Não só os EUA, mas todo o mundo anseia pelo retorno de Trump, para que tempos de paz e normalidade sejam resgatados. Que Deus abençoe a sua vida. 📸 Foto: eu, Presidente Trump e o Deputado Federal Mario Frias mariofriasoficial (PL-SP) no Mar-a-Lago, resort e residência oficial de Donald Trump, onde ele recebe chefes-de-Estado, autoridades locais e internacionais e onde ele recepcionou meu pai em 2020, quando ambos eram presidentes. (ENG) God blessed us with a private dinner and good hours of conversation with the future President of the United States of America, which began with the American National Anthem. Certainly Trump is aware of what is happening in Brazil and a strong characteristic of him is his courage and authenticity to implement the correct decisions. In the end I was able to make a video call connecting President Trump with President Bolsonaro. It is impossible not to admit that they are the two greatest patriotic leaders in the Western hemisphere. All this on the same day that his nomination to run for president of the United States was confirmed - and that he will run against Biden. Not only the USA, but the whole world is cheering for Trump's return, so that times of peace and normality can be rescued. God bless him. 📸 Photo: me, President Trump and Federal Congressman Mario Frias (PL-SP) at Mar-a-Lago.",https://www.instagram.com/p/C4gAoIuL0jX/
Eduardo Bolsonaro,14-20 MAR/24,17-03-2024,Instagram,Reels,227660,0.04,967108.0,0.0,213466,14194.0,0.0,314740.87,"Chilenos e brasileiros, além de outros acessórios. Link nos stories ou VinhoBolsonaro.com.br 🍷",https://www.instagram.com/reel/C4neB05r6TZ/
Eduardo Bolsonaro,14-20 MAR/24,17-03-2024,Instagram,Carrossel,215525,0.0379,967108.0,0.0,208638,6887.0,0.0,254324.89,Domingo na casa dos avós! 🙏,https://www.instagram.com/p/C4n-MZCLewn/
Gustavo Gayer,14-20 MAR/24,20-03-2024,Instagram,Reels,187571,0.1026,310652.0,0.0,180429,7142.0,0.0,217186.18,A verdade sempre aparece,https://www.instagram.com/reel/C4wk75NtgwH/
Gustavo Gayer,14-20 MAR/24,19-03-2024,Instagram,Reels,154209,0.0846,309896.0,0.0,143910,10299.0,0.0,210071.65,Detonando a IMPRENSA durante uma coletiva de IMPRENSA Alma lavada,https://www.instagram.com/reel/C4tVlG8OkxL/
Gustavo Gayer,14-20 MAR/24,17-03-2024,Instagram,Reels,99808,0.0549,309118.0,0.0,95614,4194.0,0.0,121511.0,Gilmar Mendes admite que não houve tentativa de golpe no 8 de Janeiro,https://www.instagram.com/reel/C4oVWSbMPKg/
