Nome,Semana,Link,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4ty8wWOuXn/,19-03-2024,Instagram,Reels,54335,0.0279999999999999,330299.0,0.0,49753,4582.0,0.0,85537.04
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4uFXQEuX00/,19-03-2024,Instagram,Reels,56431,0.0289999999999999,330299.0,0.0,47597,8834.0,0.0,116423.28
Bia Kicis,14-20 MAR/24,https://www.youtube.com/watch?v=VfekpXbHCSo,20-03-2024,YouTube,Vídeo,2447,0.3041,0.0,8047.0,2140,307.0,0.0,12676.33
Bia Kicis,14-20 MAR/24,https://www.instagram.com/p/C4u1gIcMUOy/,20-03-2024,Instagram,Foto,31542,0.0162,330299.0,0.0,29469,2073.0,0.0,48773.5
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4vMBnniYdQ/,20-03-2024,Instagram,Reels,50738,0.0260999999999999,330299.0,0.0,49141,1597.0,0.0,62026.22
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4vgc2Bvq_m/,20-03-2024,Instagram,Reels,10009,0.0052,330299.0,0.0,9703,306.0,0.0,18168.84
Bia Kicis,14-20 MAR/24,https://www.instagram.com/p/C4v1986pIIr/,20-03-2024,Instagram,Foto,32544,0.0167,330299.0,0.0,29834,2710.0,0.0,53992.3
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4wECvhJRGT/,20-03-2024,Instagram,Reels,13164,0.0068,330299.0,0.0,12530,634.0,0.0,23125.66
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4wHh7rJE5t/,20-03-2024,Instagram,Reels,222870,0.1147,330299.0,0.0,204565,18305.0,0.0,324342.46
Bia Kicis,14-20 MAR/24,https://www.instagram.com/p/C4wjeYFOggZ/,20-03-2024,Instagram,Foto,5503,0.0028,330387.0,0.0,5430,73.0,0.0,12701.95
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4glksnOtyN/,14-03-2024,Instagram,Reels,12073,0.0139,217162.0,0.0,11380,693.0,0.0,20032.93
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768329335075709201,14-03-2024,Twitter,Foto,295,0.0034999999999999,83800.0,0.0,233,0.0,62.0,1960.87
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768329326032724396,14-03-2024,Twitter,Link,890,0.0106,83800.0,0.0,765,0.0,125.0,2754.6
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4gMbowOMH-/,14-03-2024,Instagram,Foto,15180,0.0175,217162.0,0.0,14624,556.0,0.0,21767.87
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768716126278615252,15-03-2024,Twitter,Link,106,0.0013,83800.0,0.0,95,0.0,11.0,1613.92
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768716127922684395,15-03-2024,Twitter,Link,114,0.0014,83800.0,0.0,101,0.0,13.0,1628.12
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768716121836826683,15-03-2024,Twitter,Foto,2146,0.0256,83800.0,0.0,1768,0.0,378.0,4797.34
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768716124554747948,15-03-2024,Twitter,Link,25,0.0003,83800.0,0.0,22,0.0,3.0,1507.63
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4i8OvmuOOp/,15-03-2024,Instagram,Foto,14469,0.0166,217389.0,0.0,13777,692.0,0.0,22091.79
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4iy2r_O70S/,15-03-2024,Instagram,Reels,18745,0.0216,217389.0,0.0,16586,2159.0,0.0,35803.43
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768666645206122751,15-03-2024,Twitter,Link,47,0.0006,83800.0,0.0,39,0.0,8.0,1545.15
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768666643431821614,15-03-2024,Twitter,Link,36,0.0004,83800.0,0.0,32,0.0,4.0,1521.8
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768621012029952489,15-03-2024,Twitter,Link,138,0.0016,83800.0,0.0,123,0.0,15.0,1658.48
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1768621009626632615,15-03-2024,Twitter,Foto,1605,0.0192,83800.0,0.0,1382,0.0,223.0,3776.63
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4iREWsO6lQ/,15-03-2024,Instagram,Foto,6596,0.0076,217389.0,0.0,6342,254.0,0.0,12325.09
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4qJkyHMEBS/,18-03-2024,Instagram,Reels,11960,0.0137,218069.0,0.0,11384,576.0,0.0,19155.98
