Nome,Data,Plataforma,Total de Posts,Engajamento Total,Engajamento Médio,Taxa de Engajamento,VMG
André Fernandes,12-18 JUN/24,TikTok,3.0,206066,20606.6,0.1341999999999999,301353.54
André Fernandes,12-18 JUN/24,X,2.0,206066,20606.6,0.1341999999999999,301353.54
André Fernandes,12-18 JUN/24,YouTube,3.0,206066,20606.6,0.1341999999999999,301353.54
Antonio Carlos Rodrigues,12-18 JUN/24,Total,7.0,2105,300.7,0.0084,5729.0
Antonio Carlos Rodrigues,12-18 JUN/24,Instagram,7.0,2105,300.7,0.0084,5729.0
Antonio Carlos Rodrigues,12-18 JUN/24,TikTok,,2105,300.7,0.0084,5729.0
Antonio Carlos Rodrigues,12-18 JUN/24,X,,2105,300.7,0.0084,5729.0
Antonio Carlos Rodrigues,12-18 JUN/24,YouTube,,2105,300.7,0.0084,5729.0
Bia Kicis,12-18 JUN/24,Total,73.0,1553302,21278.1,0.0354,2593143.43
Bia Kicis,12-18 JUN/24,Instagram,49.0,1553302,21278.1,0.0354,2593143.43
Bia Kicis,12-18 JUN/24,TikTok,,1553302,21278.1,0.0354,2593143.43
Bia Kicis,12-18 JUN/24,X,20.0,1553302,21278.1,0.0354,2593143.43
Bia Kicis,12-18 JUN/24,YouTube,4.0,1553302,21278.1,0.0354,2593143.43
Caroline De Toni,12-18 JUN/24,Total,50.0,313217,6264.3,0.0327,593122.89
Caroline De Toni,12-18 JUN/24,Instagram,23.0,313217,6264.3,0.0327,593122.89
Caroline De Toni,12-18 JUN/24,TikTok,3.0,313217,6264.3,0.0327,593122.89
Caroline De Toni,12-18 JUN/24,X,23.0,313217,6264.3,0.0327,593122.89
Caroline De Toni,12-18 JUN/24,YouTube,1.0,313217,6264.3,0.0327,593122.89
Chris Tonietto,12-18 JUN/24,Total,22.0,214935,9769.8,0.131,249277.6
Chris Tonietto,12-18 JUN/24,Instagram,8.0,214935,9769.8,0.131,249277.6
Chris Tonietto,12-18 JUN/24,TikTok,,214935,9769.8,0.131,249277.6
Chris Tonietto,12-18 JUN/24,X,9.0,214935,9769.8,0.131,249277.6
Chris Tonietto,12-18 JUN/24,YouTube,5.0,214935,9769.8,0.131,249277.6
Eduardo Bolsonaro,12-18 JUN/24,Total,66.0,2044000,30969.7,0.0361,3717677.44
Eduardo Bolsonaro,12-18 JUN/24,Instagram,18.0,2044000,30969.7,0.0361,3717677.44
Eduardo Bolsonaro,12-18 JUN/24,TikTok,,2044000,30969.7,0.0361,3717677.44
Eduardo Bolsonaro,12-18 JUN/24,X,46.0,2044000,30969.7,0.0361,3717677.44
Eduardo Bolsonaro,12-18 JUN/24,YouTube,2.0,2044000,30969.7,0.0361,3717677.44
Gustavo Gayer,12-18 JUN/24,Total,82.0,2600000,31707.3,0.0928,7683457.81
Gustavo Gayer,12-18 JUN/24,Instagram,35.0,2600000,31707.3,0.0928,7683457.81
Gustavo Gayer,12-18 JUN/24,TikTok,23.0,2600000,31707.3,0.0928,7683457.81
Gustavo Gayer,12-18 JUN/24,X,24.0,2600000,31707.3,0.0928,7683457.81
Gustavo Gayer,12-18 JUN/24,YouTube,,2600000,31707.3,0.0928,7683457.81
Josimar Maranhãozinho,12-18 JUN/24,Total,2.0,883,441.5,0.0038,2747.53
Josimar Maranhãozinho,12-18 JUN/24,Instagram,2.0,883,441.5,0.0038,2747.53
Josimar Maranhãozinho,12-18 JUN/24,TikTok,,883,441.5,0.0038,2747.53
Josimar Maranhãozinho,12-18 JUN/24,X,,883,441.5,0.0038,2747.53
